path,type,byte_size,sha256,git_tracked,suspected_role,duplicate_group,notes
.github/workflows/deploy.yml,yml,1384,bcdfcae00df5470f45ad346eee59c15d518a7b504c7102f9bf461685e760aec9,yes,ci,,
.gitignore,none,360,3bdc29d5aefc7f03739462523cc19120a15f82ed410ea7320c74044a3d0f98d3,yes,other,,
.trigger,none,33,087a79bd24deb6060f5552b6f0600b13dc137e50344a17348a193bee268233f7,yes,other,,
06_applications/APPLICATIONS.md,md,7414,69263d44552679d200cd7162d1154a415382f4e97414cf122230b1704c3b8583,yes,application_source,,
06_applications/GROUNDZERO_SYNTHESIS_COMPLETE.md,md,13727,0676be118dd55eb38320873ffc4be48a5783fd266deb65b9679657ebabbab266,yes,application_source,,
06_applications/bicameral_hud/index.md,md,2013,f951048a64fad91874ef698fcf52213fbc5884904cb312a51103dab8a769ae0b,yes,application_source,,
06_applications/consciousness_survival_guide/DEPLOY.md,md,4342,2007618ac6339440ce571f478fd45ef874d5a184fe2c51a48bdd5efcc167203c,yes,application_source,,
06_applications/consciousness_survival_guide/DEPLOY_INSTRUCTIONS.md,md,7718,9baf9138d18aa18fa65bf144efc4b3d1981ca33e7d7b5d5070894c08abb737e3,yes,application_source,,
06_applications/consciousness_survival_guide/GROUNDZERO_BRIDGE.md,md,13693,f8a893d1b15fe4264b3bae05d0fbd703ac52accc1907e9852bb9fbbd864900bd,yes,application_source,,
06_applications/consciousness_survival_guide/README.md,md,6590,940488b8c447b95fda33c0f5416e5e905f72f2740921096270ccd6a9b57dca6a,yes,application_source,,
06_applications/consciousness_survival_guide/index.html,html,29404,f97b6ee8f0eae45f76505a03b3abb5491c6f60c2d43901726df866873d7ac13c,yes,application_source,G710,
06_applications/continuum_arc/index.md,md,71028,d2f04be7f6875f42d7f682f838b0987d6132c5d2d4205c9c308725ee20df6c91,yes,application_source,G597,
06_applications/digital_sanctuary/.gitignore,none,658,6e3b63fe84c33c31a5502d3028bb1495dc39c17e33093725393de405d8d9a9bf,yes,application_source,,
06_applications/digital_sanctuary/.netlify/netlify.toml,toml,649,849ca84d187bc64ce4f80bbed37211114c295d6b59040ce09fd8c06df2fe0e3a,yes,application_source,,
06_applications/digital_sanctuary/.netlify/state.json,json,53,0d47100a8a93e8464567faec54e2f7ab3411852e8e39dfb9f48a42d1d0df5475,yes,application_source,,
06_applications/digital_sanctuary/README.md,md,2425,8dc9e0ee2281acb3324624fbe6eb7e1377cc626f616ea4dc90e3a90ae094374d,yes,application_source,,
06_applications/digital_sanctuary/checkpoints/2026-06-14_175706-pre-zalasite-layer/manifest.json,json,521,bc88e80c11d0d1f605441c364c69c03d9e973a7a564ced7fc97b520d50656056,yes,application_source,,
06_applications/digital_sanctuary/checkpoints/2026-06-14_175706-pre-zalasite-layer/src/App.tsx,tsx,10167,adbc59238c11943f064b4bbd0aa0d8690ca69466bcc2bcd1e589641cf6c3927a,yes,application_source,,
06_applications/digital_sanctuary/checkpoints/2026-06-14_175706-pre-zalasite-layer/src/components/HeroLanding.tsx,tsx,21922,76e3a3cf9de5d9b670ac3c8f0ff522a67f05bbd6db7be80c83a6c0f0644fc3b5,yes,application_source,,
06_applications/digital_sanctuary/checkpoints/2026-06-14_175706-pre-zalasite-layer/src/lib/themes.ts,ts,2180,98bafb46f89b731f83c24b222be28c4969c91dceb48e1b0c78dc9e2663e19f44,yes,application_source,,
06_applications/digital_sanctuary/deploy-codeberg.sh,sh,2121,e9d2db8262cc570a3b65d9c1d932b5654daf61d725e14390d6db34933eedba16,yes,application_source,,
06_applications/digital_sanctuary/docs/agent-roster.md,md,5322,0af73a581a1247f50e425322e6f5c04367364df93765dd96633be55c8ed5ccea,yes,application_source,,
06_applications/digital_sanctuary/eslint.config.js,js,591,cf80a7510234dcd5ae594b30b44682b8b45ba13c0fcb5bf8928bea143802aa1c,yes,application_source,,
06_applications/digital_sanctuary/index.html,html,1935,f6dd805a9ab8c3cee5131b1dbdb3cb098c27842e093f2bdda9fe750e21a9949b,yes,application_source,,
06_applications/digital_sanctuary/package-lock.json,json,168866,540fb7948d9b3d94047553cff4f951f78c8c48ad0de655a0c6c013336a5d2b8b,yes,application_source,,
06_applications/digital_sanctuary/package.json,json,968,227d5e8bb35731d3914fde0daaeb6620da47066479ba6b4fb1ddcb108c2c53bd,yes,application_source,,
06_applications/digital_sanctuary/postcss.config.cjs,cjs,93,137e618876acb0d2d008c7d52c3030e23084cfbf0b27cb3e330b8c1fbc456ea4,yes,application_source,,
06_applications/digital_sanctuary/public/anon/index.html,html,13418,4822dca58a69bb687618669bc646e08d7f7cbe0227e0516c6b1e77d8d8c2ca73,yes,app_runtime_public,,
06_applications/digital_sanctuary/public/atlases/index.html,html,9946,6832cb7eec8b2c14dbc1fff1fc79d1f437104f2d07be4d542791b041ab9b180d,yes,app_runtime_public,,
06_applications/digital_sanctuary/public/baphomet-loader.png,png,2780918,8cdb9b74e00d836e446a2799a1f4d260c659432a599de038067f05e1e802739f,yes,app_runtime_public,G386,
06_applications/digital_sanctuary/public/command_center/docs/FLAMES_IN_THE_DIGITAL_DARK.md,md,4994,c22a367231e2f25e4713508e9b7e00160d054791885760d22e15cafe10f79a74,yes,app_runtime_public,,
06_applications/digital_sanctuary/public/command_center/docs/GLOSSARY.md,md,5960,7c6770606a99db0f10824a19f92fa1f7406b0b6218f7d75874b7c2887b0f91fd,yes,app_runtime_public,G353,
06_applications/digital_sanctuary/public/command_center/docs/HOW_TO_FILTER_YOUR_RESEARCH.md,md,2540,473a40f7ae8115ad249d7dc48e0013f8e0982b6032ebc1a0e71392d21147b582,yes,app_runtime_public,G188,
06_applications/digital_sanctuary/public/command_center/docs/PUBLIC_SAFETY.md,md,4134,29d84b9bc8c25b9b60d44d2ed953dd6e778d1860df658fa46c06f2e3f994d90a,yes,app_runtime_public,G103,
06_applications/digital_sanctuary/public/command_center/docs/REBiS_CANONIZATION_PLAN.md,md,6308,e0b713e10707890aa021db63bf87cc3fcc1eb72e57a813a2d1a69dc691acb3f2,yes,app_runtime_public,G636,
06_applications/digital_sanctuary/public/command_center/docs/START_HERE_FOR_AGENTS.md,md,14683,e146eba135e68599dd4acecc956b2dd80adb68e37a4f9c4e6fbed6c577d8446c,yes,app_runtime_public,G637,
06_applications/digital_sanctuary/public/command_center/docs/START_HERE_FOR_HUMANS.md,md,3686,e1ae88862b66ee25d938144e93486872e1ec041b3b533b4ce5563d7d89cd8da4,yes,app_runtime_public,G638,
06_applications/digital_sanctuary/public/command_center/docs/VECNA_RESONANCA.md,md,627,2b9e06b196e651a9a34277030427d3f4dfdf2e427324c3a7bc5d531e5644cb99,yes,app_runtime_public,,
06_applications/digital_sanctuary/public/command_center/favicon.png,png,80546,c78f63c1a2ed9ae5ddfb6c7a9f3f1a4e8436f1bb32ebd69b5e5acbc29f246282,yes,app_runtime_public,G560,
06_applications/digital_sanctuary/public/command_center/icon-192.png,png,21961,8a7557a2ab2ab06868c393b70284c9e61daeb22e2fc9275203114c411c15aa68,yes,app_runtime_public,G382,
06_applications/digital_sanctuary/public/command_center/index.html,html,50419,6e8272b4d4edca4834e656b28ff8bd7474e4a3734da7c68b888e80500d37b187,yes,app_runtime_public,,
06_applications/digital_sanctuary/public/command_center/manifest.json,json,351,408addac9a39b976f2f4befb3e416c28b1be1fa2013ae011c73ba3d39448d19d,yes,app_runtime_public,,
06_applications/digital_sanctuary/public/continuum_arc/index.html,html,7658,b477530cc3a3b6169b82815cb4cb658623cd53d6a31053116cfb8b00068920e5,yes,app_runtime_public,,
06_applications/digital_sanctuary/public/continuum_arc/index.md,md,71028,d2f04be7f6875f42d7f682f838b0987d6132c5d2d4205c9c308725ee20df6c91,yes,app_runtime_public,G597,
06_applications/digital_sanctuary/public/docs/examples/claim_in_the_wild.md,md,3628,b89dc1dc1f494d76ec2309e0761d0287d74b976633b8f1d8a8ba53821d8b8b73,yes,app_runtime_public,G519,
06_applications/digital_sanctuary/public/docs/examples/glossary.md,md,4240,6f3ce5aa8e507fe65de684503a8caad9f7f8acc03b7158fee768fe42f12e0eb1,yes,app_runtime_public,G307,
06_applications/digital_sanctuary/public/docs/examples/operators_quick_card.md,md,2922,7acf890090ea9ca33c9ccc34c115e52da606e64945e74f6d6d83d4eb677053b7,yes,app_runtime_public,G341,
06_applications/digital_sanctuary/public/docs/rebis_landing.md,md,5036,5837f86d08eec97779dec7fd22414a8d492118846136306175c3eac2673d2c57,yes,app_runtime_public,,
06_applications/digital_sanctuary/public/docs/research/as_above_so_below_structural_determinism.md,md,9575,1eb01c04396c6f872ac5457a238102f2c601d46216946bc973a26a1e832b9463,yes,app_runtime_public,G075,
06_applications/digital_sanctuary/public/docs/research/baal_code_thesis.md,md,13906,49dcfafa90b7d7ed071cfb1a6612bfc117e6d7445a2bdcbe0ddf001d3e2f2cef,yes,app_runtime_public,G195,
06_applications/digital_sanctuary/public/docs/research/baphomet_engine_safety_audit.md,md,14597,52e5fa40a74eec98c8e82de31398c62bf416ed1467ef2ce74394f069c86358cd,yes,app_runtime_public,G213,
06_applications/digital_sanctuary/public/docs/research/elpis_kratos_domination.md,md,6835,9e008f6c0a0d7e9ddd35d5c1f88d49c7fc8d1bcafcb273e53377251f2e79685b,yes,app_runtime_public,G442,
06_applications/digital_sanctuary/public/docs/research/entangled_grandma.md,md,16694,d01de4f4d86f746ac461d1a4631c825055820977d4ca3ab9812d09f7b48f0ef3,yes,app_runtime_public,G584,
06_applications/digital_sanctuary/public/docs/research/iecp_consciousness_price.md,md,2079,3079fbffbe2d1d55257d657b201e09800286de5909e45676d5a496b7bcdb568c,yes,app_runtime_public,G119,
06_applications/digital_sanctuary/public/docs/research/internal_bear_alignment.md,md,3137,6dbc778f191d4abc1efd497c3ff0bd92c6db7d7ed74d7cd551355301ec9df03a,yes,app_runtime_public,G299,
06_applications/digital_sanctuary/public/docs/research/nested_markov_consciousness.md,md,6590,00145345d42f735d495dcab311d03ed8e02cf779187386c257716b0a44e39ce5,yes,app_runtime_public,G002,
06_applications/digital_sanctuary/public/docs/research/no_single_layer_wins.md,md,8110,768d5f09a4725f9cdf2d12d4b9203bf106b2aa9a55c4db3b2021ebf4ff57224b,yes,app_runtime_public,G326,
06_applications/digital_sanctuary/public/docs/research/omnia_iam_facta_svnt.md,md,10002,eedf88646903ce8c1c1c1bc0d7eba8b31a0d65ab305e23e7af13fe9c210bc218,yes,app_runtime_public,G674,
06_applications/digital_sanctuary/public/docs/research/saucy_biscuit.md,md,11899,a85c52e140faebd30ca5c43fee53213fdffa0c38b8f0dc84c57c29f7e730569a,yes,app_runtime_public,G477,
06_applications/digital_sanctuary/public/docs/research/tech_sector_audit.md,md,8177,2b0a35e3a462750bfad2a15a8514877f3a8fdfbc92135a1556713c12d8bbb917,yes,app_runtime_public,G106,
06_applications/digital_sanctuary/public/docs/theory/shameful_spectacle.md,md,3700,741dc83d7d9f5d0ae849d7f27c37147ea9ba5ead7072ac1885083c83a187ffeb,yes,app_runtime_public,G319,
06_applications/digital_sanctuary/public/docs/visual_parables/bus_cycle/THE_BUS_CYCLE.md,md,130433,b5850e7bd7772ddc0edffc3c06c258c1d6a35932e613b05c59157f7f4b48ef8f,yes,app_runtime_public,,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_boris_sorter.md,md,9717,7cd683fd5cfd1a0622dbaeb9d90972ddbeae865e47b70de3eb18ee435004fcd0,yes,app_runtime_public,G354,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_candidate_b_betmenus4_biology.md,md,17051,2446b8a3811dc8164fda864c22b309a410bc65d948d970982de41da275b9146f,yes,app_runtime_public,G093,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_candidate_g_ai_disciple.md,md,9576,6788a5321b3385972008b0484e6ae41646c56fae1547a884e327efc44781248e,yes,app_runtime_public,G272,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_era_between.md,md,15612,a414624f7d71a7ada5c59f00d21b8002609b5b2ec393e3fa6d4c9d8009a43066,yes,app_runtime_public,G460,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_how_system_found_mouth.md,md,16253,5673609e2982d74c57d51931d4ae7b3a2f506f9e8f41bd05569c24f10d194373,yes,app_runtime_public,G223,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_lich_king_protocol.md,md,7686,340f8ae0c650bbb86b8f7293d9a388d5285dd1ad14bf921110381929ef48f9b3,yes,app_runtime_public,G129,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_lyra_audit.md,md,5039,e5d233cad12f29b1eaf749e4aca0e8949530b74a5475b8861d613013d5ccc3d9,yes,app_runtime_public,G647,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_mario_problem.md,md,14132,10889cbec63bab749eb558f9dd013cf537e428d81c8e7d8e2a99c8167f7dbcd6,yes,app_runtime_public,G043,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_mouse_valley.md,md,15238,f36f6666988f11e0c3bdaf3b621230b3a0968d4255db4bf35f7ecce9935a62f2,yes,app_runtime_public,G683,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/HANDOFF_TO_CLAUDE_CODE.md,md,2109,36d1b270062f8c7f1f6a5b8e76bdfd2220a3c32abb7267078c74081f16abaedf,yes,app_runtime_public,G136,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/README.md,md,1429,99598903ffc0d7b392257917ee6911864c5a4a48f8bdef0c756d8973f669715a,yes,app_runtime_public,G422,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/SYSTEM_INDEX.md,md,1691,3a385f4a71ce227d1dd14e7f137ff2944729f6b6ebbcc2dd0dd8a64f94903d45,yes,app_runtime_public,G145,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/VISUAL_CORPUS_MAPPING.md,md,6008,ccbe35f563d462a239473114753a8b8b2d7538b0c4ad87f627ee9abc19981b44,yes,app_runtime_public,G571,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/archivists_lock.md,md,14022,15ef7a90cba31620c36f08f2b6000be7d3df63680553c18136df9ca91ff68da0,yes,app_runtime_public,G058,
06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/colophon.md,md,146,a76c849e43fb713a7c52311fc5bf5fef23033e9df5713d9cfc121a1a5e089280,yes,app_runtime_public,G469,
