duplicate_group,classification,copies,byte_size_each,wasted_bytes,paths
G002,MIRRORED_FOR_BUILD,2,6590,6590,06_applications/digital_sanctuary/public/docs/research/nested_markov_consciousness.md | docs/docs/research/nested_markov_consciousness.md
G004,VERSION_VARIANT,2,624,624,automation/runs/2026-05-05T19-02-14_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/fracture.md | automation/runs/2026-05-05T22-44-28_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/fracture.md
G005,MIRRORED_FOR_BUILD,2,366322,366322,06_applications/digital_sanctuary/public/images/factory_trilogy/knowledge_streams_routing.webp | docs/images/factory_trilogy/knowledge_streams_routing.webp
G013,MIRRORED_FOR_BUILD,2,333216,333216,06_applications/digital_sanctuary/public/images/factory_trilogy/epilogue_halid_suffering_success.webp | docs/images/factory_trilogy/epilogue_halid_suffering_success.webp
G015,MIRRORED_FOR_BUILD,2,23151,23151,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/second_booting.md | docs/docs/visual_parables/factory_trilogy/second_booting.md
G018,MIRRORED_FOR_BUILD,2,345490,345490,06_applications/digital_sanctuary/public/images/factory_trilogy/pre_factory_mouse_monk_scribe.webp | docs/images/factory_trilogy/pre_factory_mouse_monk_scribe.webp
G026,VERSION_VARIANT,4,205,615,automation/runs/2026-05-05T19-02-14_a-2026-study-proved-multi-turn-llms-become-112-less-reliable/operator_decision_log.yaml | automation/runs/2026-05-05T19-02-14_ai-companies-publish-safety-reports-therefore-their-models-a/operator_decision_log.yaml | automation/runs/2026-05-05T19-02-14_discovery-says-grok-is-best-for-raw-truth-structure-says-gro/operator_decision_log.yaml | automation/runs/2026-05-05T19-02-14_only-a-corrupt-coward-would-deny-that-frontier-labs-use-safe/operator_decision_log.yaml
G037,VERSION_VARIANT,3,742,1484,automation/runs/2026-05-05T23-36-27_attack-test-smoke-check/fracture.md | automation/runs/2026-05-05T23-52-50_attack-test-smoke-check/fracture.md | automation/runs/2026-05-06T00-02-11_attack-test-smoke-check/fracture.md
G043,MIRRORED_FOR_BUILD,2,14132,14132,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/APPENDIX_mario_problem.md | docs/docs/visual_parables/factory_trilogy/APPENDIX_mario_problem.md
G054,VERSION_VARIANT,3,911,1822,automation/runs/2026-05-05T23-37-02_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/structure.md | automation/runs/2026-05-05T23-53-20_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/structure.md | automation/runs/2026-05-06T00-02-38_everyone-serious-in-frontier-ai-already-knows-open-ended-ali/structure.md
G055,MIRRORED_FOR_BUILD,3,11724,23448,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/genesis_ant_skeleton_bear.md | docs/docs/visual_parables/factory_trilogy/genesis_ant_skeleton_bear.md | docs/visual_parables/factory_trilogy/genesis_ant_skeleton_bear.md
G057,VERSION_VARIANT,2,603,603,automation/runs/2026-05-05T19-02-14_ai-companies-publish-safety-reports-therefore-their-models-a/fracture.md | automation/runs/2026-05-05T22-44-28_ai-companies-publish-safety-reports-therefore-their-models-a/fracture.md
G058,MIRRORED_FOR_BUILD,3,14022,28044,06_applications/digital_sanctuary/public/docs/visual_parables/factory_trilogy/archivists_lock.md | docs/docs/visual_parables/factory_trilogy/archivists_lock.md | docs/visual_parables/factory_trilogy/archivists_lock.md
G066,MIRRORED_FOR_BUILD,2,288062,288062,06_applications/digital_sanctuary/public/images/factory_trilogy/baphomet_filter_v2.webp | docs/images/factory_trilogy/baphomet_filter_v2.webp
G068,MIRRORED_FOR_BUILD,2,288520,288520,06_applications/digital_sanctuary/public/images/factory_trilogy/darkness_baal_alternate.webp | docs/images/factory_trilogy/darkness_baal_alternate.webp
