path,action,destination,reason,verified_by
"docs/favicon.png",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/favicon.svg",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/icon-192.png",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/icons.svg",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/baphomet-loader.png",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/theory/shameful_spectacle.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/baal_code_thesis.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/no_single_layer_wins.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/internal_bear_alignment.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/iecp_consciousness_price.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/omnia_iam_facta_svnt.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/as_above_so_below_structural_determinism.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/elpis_kratos_domination.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/entangled_grandma.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/tech_sector_audit.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/nested_markov_consciousness.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/research/baphomet_engine_safety_audit.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/examples/glossary.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/examples/claim_in_the_wild.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/examples/operators_quick_card.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/visual_parables/factory_trilogy/continuum_arc.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
"docs/docs/visual_parables/factory_trilogy/urgot_codex.md",UNTRACKED_DUPLICATE,,"byte-identical copy survives outside docs/; part of the stale Pages build output dumped into docs/",sha256
